station_name,section,content,keywords,type
"","基本資訊","- 日文名稱：赤坂見附駅
- 性質：赤坂商業區中心，著名的「零距離」轉乘站。","undefined,基本資訊,info","info"
"","可搭乘路線","- **地下鐵**：東京Metro銀座線、丸之內線","undefined,可搭乘路線,tip","tip"
"","轉乘秘密","- **同月台轉乘**：銀座線與丸之內線在同一月台（B2/B3 兩層），往相同方向的列車只需走過月台對面即可轉乘，是東京最便利的轉乘設計。
- **永田町站直通**：與永田町站（有樂町線、南北線、半藏門線）地下相連，步行約 5-8 分鐘。","undefined,轉乘秘密,warning","warning"
"","基本資訊","- 日文名稱：九段下駅
- 性質：鄰近靖國神社、日本武道館，春季賞櫻名所。","undefined,基本資訊,info","info"
"","可搭乘路線","- **地下鐵**：東京Metro東西線、半藏門線、都營新宿線","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **神級轉乘**：都營新宿線（新宿方向）與半藏門線（澀谷方向）在同一月台，牆壁被打通後實現了「零距離」轉乘，這在不同業者的轉乘中極為罕見。
- **活動人潮**：武道館有演唱會時，車站會極度擁擠。","undefined,轉乘注意事項,warning","warning"
"","基本資訊","- 日文名稱：三越前駅
- 性質：鄰近日本橋三越總店，充滿江戶傳統氣息的商業區。","undefined,基本資訊,info","info"
"","可搭乘路線","- **地下鐵**：東京Metro銀座線、半藏門線
- **JR線**：可經由地下通道步行至 JR 新日本橋站（總武快速線）。","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **轉乘距離**：銀座線與半藏門線轉乘需步行約 3-5 分鐘。
- **地下商場**：與 COREDO 室町等商場直結，雨天可全程走地下。","undefined,轉乘注意事項,warning","warning"
"","基本資訊","- 路線代號：G
- 顏色：橙色
- 特色：日本最早的地下鐵（1927年開業），車廂較小，歷史悠久。","undefined,基本資訊,info","info"
"","乘車建議","- **空間提醒**：車廂與月台空間較窄，攜帶大行李時請多留意。
- **避開尖峰**：尖峰時段（08:00-09:30）非常擁擠，建議避開。
- **票券建議**：適合使用「東京地鐵 24/48/72 小時券」。","undefined,乘車建議,tip","tip"
"","基本資訊","- 路線代號：JY
- 顏色：黃綠色
- 特色：東京最重要的環城線，連接新宿、澀谷、東京等大站。","undefined,基本資訊,info","info"
"","乘車建議","- **運行方式**：環狀運行，分為「內回」（逆時針）與「外回」（順時針）。
- **轉乘便利**：轉乘其他 JR 線路通常不需出站。
- **人潮警告**：尖峰時段建議避開新宿、澀谷等大站。","undefined,乘車建議,tip","tip"
"","基本資訊","- 路線代號：M
- 顏色：紅色
- 特色：連接池袋、東京、新宿。","undefined,基本資訊,info","info"
"","乘車建議","- **無障礙提醒**：部分車站月台與車廂間隙較大，推嬰兒車請小心。
- **神轉乘**：在赤坂見附站可與銀座線進行同月台「零距離」轉乘。","undefined,乘車建議,tip","tip"
"","基本資訊","- 路線代號：JE
- 顏色：紅色
- 特色：前往東京迪士尼樂園的主要路線。","undefined,基本資訊,info","info"
"","乘車建議","- **東京站轉乘警告**：東京站京葉線月台位於地下深處，步行需 15-20 分鐘。
- **強風影響**：由於沿海岸運行，強風時容易延誤或停駛。","undefined,乘車建議,tip","tip"
"","基本資訊","- 日文名稱：有楽町駅
- 站點編號：JR / 有樂町線 Y-18
- 性質：銀座地區的另一個入口，轉乘京葉線的最佳替代站。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線、京濱東北線
- **地下鐵**：有樂町線","undefined,可搭乘路線,tip","tip"
"","轉乘策略 (東京車站京葉線替代)","- **核心祕訣**：若要去迪士尼（京葉線），從有樂町站「京橋口」出站，步行至東京國際論壇地下 1 樓，即可直接抵達東京車站京葉線月台。
- **優點**：比起在東京車站內部走 15-20 分鐘，此路線更平坦且步行時間僅需約 5-8 分鐘。","undefined,轉乘策略 (東京車站京葉線替代),warning","warning"
"","出口指南","- **日比谷口**：往日比谷公園、日比谷 Mid-Town。
- **銀座口**：往銀座百貨區最近。
- **京橋口**：往 Bic Camera、東京國際論壇。","undefined,出口指南,info","info"
"","基本資訊","- 日文名稱：恵比寿駅
- 性質：時髦、成熟，擁有多樣化的高級餐廳與惠比壽花園廣場。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線、埼京線、湘南新宿線
- **地下鐵**：東京Metro日比谷線","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **日比谷線 ⇄ JR**：轉乘動線直觀，約需 3-5 分鐘。JR「西口」最靠近地下鐵入口。
- **埼京線/湘南新宿線**：月台與山手線並列，轉乘非常方便。","undefined,轉乘注意事項,warning","warning"
"","出口指南","- **西口**：往惠比壽一番街（美食街）、日比谷線轉乘。
- **東口**：有長距離電動步道「Ebisu Sky Walk」直通惠比壽花園廣場（步行約 5-8 分鐘）。","undefined,出口指南,info","info"
"","基本資訊","- 日文名稱：飯田橋駅
- 性質：五線交會的重要轉乘站，鄰近神樂坂，地形坡度較大。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：總武線（各站停車）
- **地下鐵**：東京Metro東西線、有樂町線、南北線、都營大江戶線","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **地下鐵大迷宮**：飯田橋站的地下鐵轉乘距離極長。
  - **東西線 ⇄ 其他地下鐵**：步行需約 5-8 分鐘。
  - **大江戶線**：月台位於地下深處，轉乘 JR 需預留 8-10 分鐘。
- **JR 月台位置**：JR 飯田橋站月台曾因彎道過大進行移設，現在離「西口」較近，往神樂坂方向步行更便利。","undefined,轉乘注意事項,warning","warning"
"","顏色識別系統","- JR系列：長方形標示
- 東京Metro：圓形標示
- 都營地下鐵：三角形標示","undefined,顏色識別系統,tip","tip"
"","常見路線顏色","| 路線 | 顏色 | 標示代號 |
|------|------|----------|
| 銀座線 | 橙色 | G |
| 丸之內線 | 紅色 | M |
| 日比谷線 | 銀色 | H |
| 都營淺草線 | 朱紅色 | A |
| 山手線 | 綠色 | JY |
| 中央線 | 橙色 | JC |","undefined,常見路線顏色,tip","tip"
"","大型行李注意事項","- 淺草站都營淺草線只有A2-b出口有電梯
- 東京車站京葉線轉乘距離很長
- 新幹線車廂有大型行李專用空間，需預約","undefined,大型行李注意事項,tip","tip"
"","購票建議","- 使用Suica/PASMO可搭乘所有路線
- 觀光客推薦購買東京Metro一日券（900日圓）
- JR山手線沿線推薦購買JR一日券","undefined,購票建議,tip","tip"
"","基本資訊","- 日文名稱：鶯谷駅
- 性質：山手線上使用人數最少的車站，保留了濃厚的下町昭和氣氛，鄰近上野公園北側。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線、京濱東北線","undefined,可搭乘路線,tip","tip"
"","轉乘與出站","- **北口**：靠近著名的「根岸」老街，有很多隱藏的美食名店。
- **南口**：通過天橋可直達「上野恩賜公園」北端，是前往東京國立博物館、東京都美術館的寧靜捷徑。","undefined,轉乘與出站,warning","warning"
"","基本資訊","- 日文名稱：北千住駅
- 性質：北東京最大的交通樞紐，五線交匯。既有大型百貨商場，也有充滿活力的老式商店街。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：常磐線（快速）
- **地下鐵**：東京Metro日比谷線、千代田線
- **私鐵**：東武晴空塔線、筑波快線 (Tsukuba Express)","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **結構複雜**：車站分為多層，日比谷線與東武線共用月台，轉乘千代田線則需通過地下通道，步行約 5-8 分鐘。","undefined,轉乘注意事項,warning","warning"
"","出口指南","- **西口**：有 Lumine 和 Marui 兩大百貨，以及著名的美食商店街。
- **東口**：通往東京未來大學，氛圍較為安靜。","undefined,出口指南,info","info"
"","基本資訊","- 日文名稱：代々木駅
- 性質：鄰近新宿但氛圍截然不同，是一個充滿文藝氣息與學生活力的區域，擁有很多特色咖啡廳。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線、中央線（各站停車）
- **地下鐵**：都營大江戶線","undefined,可搭乘路線,tip","tip"
"","轉乘與出站","- **轉乘大江戶線**：需出站經由地面轉乘，JR「北口」與地下鐵出口最近。
- **步行至新宿**：代代木站距離新宿南口非常近，步行僅需 10-12 分鐘，天氣好時適合散步。","undefined,轉乘與出站,warning","warning"
"","出口指南","- **西口**：靠近代代木動畫學院，有很多平價美食。
- **北口**：最靠近新宿方向及明治神宮北參道入口。","undefined,出口指南,info","info"
"","基本資訊","- 日文名稱：原宿駅
- 性質：青少年流行文化發源地，鄰近明治神宮與代代木公園。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線
- **地下鐵**：東京Metro千代田線、副都心線（明治神宮前站）","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **明治神宮前站**：雖然站名不同，但與原宿站緊鄰，轉乘千代田線或副都心線非常方便。
- **新站體**：原宿站已完成擴建，現在有寬敞的西口出口直通明治神宮。","undefined,轉乘注意事項,warning","warning"
"","轉乘注意事項","*本知識庫資料整理自日本旅遊網站 letsgojp.com 及 matcha-jp.com，適用於LUTAGU東京公共交通AI助手*

# L4 Knowledge Expansion (MiniMax)","undefined,轉乘注意事項,warning","warning"
"","Traps（陷阱/警告）","- [Trap] 🚶 **JR↔日比谷線轉乘**: 兩站相距約 400m，步行需 5-8 分鐘，無直達通道。(Advice: 攜帶行李時建議使用計程車或巴士。)
- [Trap] 🌧️ **戶外轉乘**: 日比谷線位於山下通(山手通り)北側，需穿越戶外馬路，雨天極不便。(Advice: 攜帶雨具或使用地下商場入口。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🌁 **惠比壽花園廣場天空步道**: JR惠比壽站東口出站後，右側即為天空步道入口，全程室內步行約 5 分鐘直達惠比壽花園廣場。(Advice: 回程需原路返回或繞行地面道路。)
- [Hack] 🚇 **日比谷線最近入口**: 從JR站沿山下通向北步行約 300m，日比谷線 2 號出口位於右手邊。(Advice: 2 號出口設有電梯。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Facilities（設施資訊）","- [toilet] JR東口站內、JR西口站內、月台層 [Wheelchair] [BabyRoom]
- [elevator] JR東口電梯塔、月台層電梯 [Wheelchair]
- [atm] JR站內(三菱UFJ、郵貯)、East廣場
- [locker] JR東口站外 (大型42個、中型192個)、JR西口站外 [Large]
- [wifi] JR站內免費Wi-Fi、惠比壽花園廣場全域
- [toilet] View Altte旁 (9:00-18:00) [Wheelchair]","undefined,Facilities（設施資訊）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🚇 **多線轉乘複雜性**: 此站由東急電鐵主導經營，但同時有都營三田線與東京Metro南北線停靠。售票系統各自獨立，IC卡無法互通補貼，須於各線售票機分別購票。(Advice: 轉乘前先確認各線閘門位置，避免走回頭路。)
- [Trap] 🚶 **轉乘步行距離**: 東急線與都營三田線間轉乘需步行約 300m，經過聯絡通道約 4-5 分鐘。南北線月台位於地下 B2 層，與東急淺草 meguro線月台（地面層）垂直距離約 15m。(Advice: 攜帶大型行李者建議使用東口電梯。)
- [Trap] ⛰️ **站外陡坡**: 目黑站周圍為知名陡坡地形，站前向西延伸的斜坡坡度達 8-12%，往「目黑區民中心」方向步行 200m 平均耗時比平地多 2 分鐘。(Advice: 避免拖行李箱於下雨天前往西側住宿，路面濕滑危險。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🚪 **最佳進出站選擇**: 東急線乘車使用「東口」或「西口」，兩者相距 80m。前往「目黑銀杏並木」（賞楓名所）建議從西口出站，步行 150m 即達。前往「四季劇場」從東口出站，步行 100m。(Advice: 先確認目的地方位再選擇出口。)
- [Hack] 🛗 **電梯位置**: 東口設有電梯可達所有樓層（地面→地下B1→B2），服務時間 05:00-24:00。大型行李或輪椅使用者須使用東口，西口僅有樓梯。(Advice: 西口無電梯，攜帶行李者勿從西口進出。)
- [Hack] 🚃 **首末班車差異**: 東急目黑線首班車 05:04、末班車 00:38。都營三田線首班車 05:29、末班車 23:54。南北線首班車 05:17、末班車 00:09。南北線末班車最早結束。(Advice: 深夜活動者優先選擇東急線離站。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Facilities（設施資訊）","- [toilet] 東急線月台（1F）東側、西側各 1 間；都營/南北線閘內 B2 層東側 1 間 [Wheelchair] [BabyRoom]
- [elevator] 東口 1 處（1F↔B2） [Wheelchair]
- [locker] 東口站前廣場投幣式行李櫃 [L-size] [M-size]
- [wifi] 站內 Tokyo Free Wi-Fi","undefined,Facilities（設施資訊）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🚇 **終點與直通混淆**: 注意月台指標，部分搭乘東京地鐵東西線的乘客會誤乘「各站停車」抵達終點站卻未察覺，錯過繼續直通京王線的機會。(Advice: 確認車廂內顯示幕或廣播，終點站為「Mitaka」而非「Nakano」。)
- [Trap] 🚶 **中央線月台距離**: 中央線快速月台與東西線月台步行約 300m，需 3-5 分鐘。(Advice: 轉乘預留 10 分鐘以上。)
- [Trap] 🔀 **中央線分歧**: 中央線分為「快速」與「中央．總武線各站停車」，兩者月台不同站體，搭錯需出站重新進站。(Advice: 確認入口指示牌寫「Chuo Line Rapid」或「Sobu Line」。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🎯 **直通運轉邏輯**: 東西線分為三種運行模式：（1）直通京王線至 Mitaka（3-5 班/小時）；（2）終點站為 Nakano（2-3 班/小時）；（3）回送至 中野車庫。直通車於 2 號月台發車，終點車於 1 號月台發車。(Advice: 前往 Mitaka 方向，優先選擇直通車可省去一次轉乘。)
- [Hack] 🏢 **北口人潮較少**: 南口為主要商業區入口，早晚尖峰時段擁擠。北口連接住宅區，通勤時間排隊人潮少 40%。(Advice: 攜帶大型行李或行動不便者，建議使用北口。)
- [Hack] 💺 **指定席售票機**: 中央線快速對號座位（Green Car）售票機位於 3 號月台樓梯口，非站內大型售票處。(Advice: 無需出站，直接於月台層購買 Green Car 券。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Facilities（設施資訊）","- [toilet] 南口、北口 (東京地鐵東西線閘內) [Wheelchair] [BabyRoom]
- [elevator] 北口 (1F↔B1) [Wheelchair]
- [elevator] 南口 (1F↔B2) [Wheelchair]
- [locker] 南口 (72 個中型)、北口 (48 個中型)
- [wifi] JR-EAST FREE Wi-Fi","undefined,Facilities（設施資訊）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🚶 **站體複雜性**: 目黑站由 Tokyu 公司管理營運，但 JR 東日本、帝都交通巴士（都營地下鐵）、東京地下鐵皆共用此站，票務系統各自獨立。(Advice: 儲值卡無法跨系統通用，請至各公司售票機分別購票或使用 IC 卡。)
- [Trap] 🚶 **轉乘動線複雜**: JR 月台位於地面層，都營淺草線 B1F，月台與 Namboku 線距離約 200m，需穿越站內通道約 4 分鐘。(Advice: 轉乘時注意指標顏色——藍色為 JR，黃色為 Tokyu，綠色為都營/Metro。)
- [Trap] ⛰️ **站外陡坡**: 東口（正面口）外即是著名的目黑斜坡，坡度約 15-20 度，路面狹窄，拖行李箱極度困難。(Advice: 攜帶大型行李者建議使用西口，步行至山手通繞行。)
- [Trap] 🔍 **出口迷路**: 東口與西口不相通，地下通道僅連接部分設施，出站後無法回到站內。(Advice: 確認目的地方向後再刷卡出站。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🛗 **行李電梯**: Namboku 線月台有電梯通往東口（斜坡側），適合攜帶行李但需前往東側的旅客。(Advice: 電梯位於 1 番線月台端，開放時間 5:00-24:00。)
- [Hack] ↔️ **西口繞行**: 前往西側（惠比壽、自由之丘方向）無需爬坡，從西口出站後步行至山手通再轉乘巴士或計程車。(Advice: 西口步行至斜坡底部約 5 分鐘。)
- [Hack] 🎫 **售票位置**: JR 售票機位於東口站舍內，都營與 Metro 售票機位於地下 B1F 連絡通道。(Advice: 購買 JR 廣域周遊券需至東口綠色窗口。)
- [Hack] 🚇 **月台配置**: JR 為 2 座 1 面 2 線側式月台，Tokyu 為 2 座 1 面 2 線島式月台，都營與 Metro 共享 1 座島式月台。(Advice: 都營/Metro 連絡需使用地下 B1F 通道。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Facilities（設施資訊）","- [toilet] Location [B1F][Metro][Tokyu] - 洗手間位於 B1F 連絡通道及 Tokyu 改札內
- [elevator] Location [JR][Namboku][Tokyu] - JR 改札內、Namboku 線月台、Tokyu 改札內各有電梯
- [locker] Location [東口][西口] - 東口站舍內（小型 300円、中型 500円）、西口站舍外（大型 700円）
- [atm] Location [東口][B1F] - 東口站舍內有三菱 UFJ 銀行 ATM，B1F 連絡通道有郵局 ATM","undefined,Facilities（設施資訊）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🚇 **Oedo線轉乘最深**: Oedo線月台位於B5F最深處，從JR山手線月台步行約500m/12分鐘，經過3段長樓梯和多個轉彎。(Advice: 攜帶大型行李者建議使用升降機，入口位於東口方向地下通道。)
- [Trap] 🌃 **東西口徹底分離**: 西口通往都廳商圈(步行700m)，東口通往歌舞伎町(步行300m)。兩方向無法地下直通，需出站後重新入站。(Advice: 確認目的地後選擇正確出口，避免浪費10-15分鐘。)
- [Trap] 🚶 **轉乘距離過長**: JR轉乘小田急線需步行800m/15分鐘，經過南口地下通道。(Advice: 預留至少20分鐘轉乘時間，高峰期增加50%。)
- [Trap] 📍 **南口迷宮**: 南口閘外區域分為舊南口與NEW SOUTH口，兩者不相通。(Advice: 前往Busta新宿請直接前往NEW SOUTH口標示的出口。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🚌 **BUSTA新宿乘車**: 前往東北/關西方向高速巴士，請使用NEW SOUTH口(新南口)，出站後過馬路即達。(Advice: 班次前20分鐘到場排隊，熱門路線滿座率高。)
- [Hack] 🏢 **西口上班族**: 前往都廳/新宿華盛頓酒店/京王廣場飯店，使用西口出站，右轉步行5分鐘。(Advice: 西口樓梯狹窄，拖行李請走右側升降機。)
- [Hack] 🎭 **東口娛樂區**: 前往歌舞伎町/黃金街/蘭桂坊，使用東口出站後左轉，步行3分鐘。(Advice: 東口夜間計程車排隊約30分鐘，建議步行至西口。)
- [Hack] 🔗 **中央通道直達**: 從JR中央口入站後，右側有地下通道連接Metro丸之內線，步行150m/3分鐘。(Advice: 通道天花板有明確指示牌，藍色標示為丸之內線。)
- [Hack] 🎫 **自動售票機位置**: 丸之內線自動售票機集中在B1F中央通路，JR綠色窗口隔壁亦有售票機。(Advice: 高峰期排隊超過20人時，使用便利店售票機。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Facilities（設施資訊）","- [type] toilet [JR中央口B1F] [JR南口B1F] [Metro丸之內線月台] (24小時開放，部分僅限持票旅客)
- [type] elevator [西口] [東口] [NEW SOUTH口] [Oedo線B5F] (JR車站內升降機可達各月台層)
- [type] locker [JR東口站外廣場] [JR西口站外廣場] [B1F中央通路] (大型行李Locker數量有限，傍晚後易滿)
- [type] atm [JR綠色窗口內] [西口站外三菱UFJ銀行] [東口站外郵局] (綠色窗口內ATM支援外國卡)
- [type] wifi [全站免費Wi-Fi] (熱點名稱""Shinjuku_Station_Free_Wi-Fi""，限3小時/日)","undefined,Facilities（設施資訊）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🚶 **Ginza Line 3F Isolation**: Ginza Line platforms are on 3F (elevated). Transferring to JR/Fukutoshin/Toyoko requires descending 3 floors via stairs—no direct elevator from 3F to B5. (Advice: Carry luggage? Use the Hachiko Exit elevator to B1F first, then navigate to Ginza Line.)

- [Trap] ⬇️ **The Dungeon (B5 Depths)**: Fukutoshin and Toyoko Lines are on B5F—descend 5 floors from ground level. The corridor from JR to B5F takes 8-12 minutes walking. (Advice: If transferring from Ginza 3F to Fukutoshin B5F, budget 15+ minutes total descent.)

- [Trap] �人流 **Hachiko Exit Crush**: Hachiko Exit ( JR West South Gate) opens directly onto the Scramble Crossing. During rush hours (7:30-9:30, 17:30-20:00), this exit is functionally impassable. (Advice: Use the 9/10a or 8b exits for less crowded access to the scramble area.)

- [Trap] ↔️ **Scramble Crossing Misorientation**: The crossing has 4 corners. Hachiko Exit deposits you at the **northeast corner** (Tower Records side). The Shibuya Stream/Scramble Square入口 is at the **southeast corner**—walk 200m along the building to reach it. (Advice: Don't cross immediately; walk along the building perimeter to find your target entrance.)

- [Trap] 🔄 **Toyoko Line Direction**: Toyoko Line trains depart from B5F but serve two directions: Shinjuku (northbound via Nishi-ogikubo) AND Minatomirai (southbound). Check platform LCD displays before descending to B5. (Advice: Nishi-ogikubo-bound trains are on Platform 1, Minatomirai on Platform 2.)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🎒 **Luggage Route**: From JR lines to Ginza Line: Use the ** Hachiko Exit elevator** (near Shibuya Stream) to B1F, walk through the underground mall to Ginza Line stairs. Avoid the main Hachiko Exit stairs—always crowded.

- [Hack] ⬇️ **Fastest B5 Descent**: The **express elevator near the Fukutoshin Line ticket gate** (B1F, east side) descends directly to B5F in 45 seconds. Look for signs marked 「副都心線・エレベーター」. Do not use the JR concourse elevators—they stop at every floor.

- [Hack] 🔁 **Cross-Platform Transfer**: Transferring between Toyoko and Fukutoshin Lines at Shibuya is cross-platform (same level, opposite sides). From Minatomirai-bound Toyoko, simply cross the platform for Fukutoshin (Shinjuku-bound). Saves 5 minutes vs. using stairs.

- [Hack] ☔ **Rain Shield**: The Hachiko Exit to Scramble Crossing has partial cover. For full rain protection, use the **Shibuya Stream 2F pedestrian bridge** which connects to the station and crosses above the scramble.

- [Hack] 🍜 **Food Anchor**: The **Shibuya Stream B1F food hall** (JR Ticket Gate side) has the shortest wait times for meals during rush hours. Use it as a navigation anchor—the station's most reliable landmark.","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Facilities（設施資訊）","- [elevator] Hachiko Exit (JR West South Gate) | B1F-JF | Ground-floor access for luggage
- [elevator] Shibuya Stream 1F | B5F | Connects Fukutoshin/Toyoko Lines
- [toilet] B1F (multiple locations) | Near Ginza Line ticket gate, near Fukutoshin ticket gate, Hachiko Exit concourse
- [locker] B1F underground mall | 300 yen/4 hours | Size: 2x Carry-on suitcases max
- [locker] Shibuya Stream 1F | 400 yen/4 hours | Larger sizes available
- [atm] B1F (multiple) | Japan Post Bank, Mizuho, SMBC | 24-hour availability
- [wifi] Free WiFi | B1F concourse, Hachiko Exit plaza | SSID: 0000FUKUOKA_FreeWiFi (registration required)","undefined,Facilities（設施資訊）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🏬 **西武・東武百貨店悖論**: 西武百货店在车站东侧（靠近西武池袋站），东武百货店在西侧（靠近东武池袋站。(Advice: 两家百货店无直接地下通道连接，穿行需出站步行约800m，耗时12-15分钟。)
- [Trap] 🚇 **副都心線距離**: 副都心线月台位于JR站体南侧，从JR东口步行约350m，需5-7分钟。(Advice: 转乘副都心线建议使用南通路，不要尝试从北口绕行。)
- [Trap] 🕳️ **地下迷宮**: 站内存在3层地下空间，B1为商业街（Ikebukuro Underground Shopping Center），B2为通路，B3为部分线路月台。(Advice: 以地面标志灯颜色识别方向：红色通往JR，蓝色通往东武/西武，绿色通往地铁。)
- [Trap] 🚪 **東口與西口差異**: 东口连接JR线，西口主要连接东武线和东武百货店。(Advice: 目的地若在东武百货店，必须从西口出站，从东口出站后步行至西口需10分钟。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🎯 **西武線快速換乘**: 使用西武池袋站（与JR池袋站相邻但独立）时，从JR东口出站后右转步行50m即可到达西武入口。(Advice: 闸机外换乘需出站后重新进站，若使用Suica需确保余额充足。)
- [Hack] 🎯 **東武線捷徑**: 东武池袋站位于JR站西侧，从JR西口出站后左转步行80m可见东武入口标志。(Advice: 东武线与JR线闸机不相通，换乘必须出站。)
- [Hack] 🎯 **地下連通捷徑**: Ikebukuro Underground Shopping Center (B1F) 连接东口、西口、南口及周边大楼。(Advice: 下雨天可全程使用地下通道前往西武/东武百货店，无需携带雨具。)
- [Hack] 🎯 **行李寄放策略**: JR站东口外及B1F设有大型行李寄存柜（300円/次），尺寸可容纳29寸行李箱。(Advice: 旺季建议上午10点前寄存，午后柜位常满。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Facilities（設施資訊）","- [type] toilet [JR东口] [B1F Central Gate附近] - 24小时开放，配备温水洗净便座
- [type] toilet [西武池袋站] [1F改札外] - 营业时间与商场一致
- [type] toilet [东武池袋站] [B1F] - 营业时间与商场一致
- [type] elevator [JR东口] - 电梯通往B1F及1F，请使用站内升降梯标识
- [type] elevator [副都心线月台] - 电梯通往B3月台及B1F联络通道
- [type] locker [B1F Ikebukuro Underground Shopping Center] - 尺寸分S/M/L，L尺寸可存29寸行李箱
- [type] atm [JR东口剪票口外] - 7-11 ATM及三菱UFJ银行ATM，24小时可用
- [type] atm [西武百货店地下1层] - 多家银行ATM，营业时间10:00-20:00
- [type] wifi [B1F商业区] - Free Wi-Fi @Ikebukuro，覆盖B1F主要通道","undefined,Facilities（設施資訊）,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🚶 **京葉線轉乘**: 從中央月台步行至京葉線月台約 15-20 分鐘，需穿越地下通道。(Advice: 前往迪士尼的乘客請預留 25 分鐘轉乘時間。)
- [Trap] ⚠️ **丸之內側vs八重洲側完全分離**: 兩側由地下通道連接但步行需 5-10 分鐘，皇居位於丸之內側，新幹線の搭乘則在八重洲側。(Advice: 確認目的地後選擇正確出站口。)
- [Trap] 🚌 **巴士站位置**: 所有高速巴士站位於八重洲側，丸之內側無巴士站。(Advice: 前往巴士站的乘客請從八重洲側出站。)
- [Trap] 🔀 **地下迷宮**: B1F 地下通道連接 JR、地鐵、誤差約 10 條以上路線，指標混亂。(Advice: 跟隨藍色標示前往 JR，紅色標示前往地下鐵。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 👑 **皇居近道**: 從丸之內北口出站後步行 200m 即可抵達皇居東御苑入口。(Advice: 搭乘電車至二重橋前站需多付運費。)
- [Hack] 🚄 **新幹線を逃す捷徑**: 趕不上新幹線の乘客可前往 20-22 番線月台，從檢票口步行僅需 2 分鐘。(Advice: 利用最近的電梯前往地下 1 層月台。)
- [Hack] 🧳 **行李寄存**: 八重洲中央口附近 B1F 有大型行李寄存櫃，營業至深夜 12 點。(Advice: 適合輕裝遊覽皇居。)
- [Hack] 🍜 **拉麵一番街**: 車站地下 1 層集結 10 家人氣拉麵店，營業至凌晨 1 點。(Advice: 深夜覓食首選。)","undefined,Hacks（技巧/捷徑）,tip","tip"
"","Facilities（設施資訊）","- [type] toilet [丸之內:北口、南口、B1F] [八重洲:中央口、北口、南口、B1F] (有多功能室)
- [type] locker [丸之內:一番街 B1F] [八重洲:中央口地下廣場 B1F] (大型/中型櫃)
- [type] elevator [丸之內:北口、南口] [八重洲:中央口] (電梯通往各月台)
- [type] atm [丸之內:售票廳、南口] [八重洲:中央口附近] (三大銀行 24 小時)
- [type] wifi [車站全區] (免費 Wi-Fi)","undefined,Facilities（設施資訊）,tip","tip"
"","Tra","10分鐘。)
        *   [Trap] 🚶 **日比谷線轉乘**: 日","undefined,Tra,tip","tip"
"","Traps（陷阱/警告）","- [Trap] 🧭 **距離近≠換乘近**：地圖上看起來接近的人形町/東日本橋一帶，實際多半需要地面步行。(Advice: 需要換乘或趕時間時，先把步行緩衝抓在 8-12 分鐘。)","undefined,Traps（陷阱/警告）,tip","tip"
"","Hacks（技巧/捷徑）","- [Hack] 🗺️ **用大地標定位再走**：先在出口圖確認「濱町公園/明治座」方向，再決定出站口。(Advice: 不要在地下亂繞，回到出口圖重選更快。)","undefined,Hacks（技巧/捷徑）,tip","tip"
